IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150339945,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,04/18/2015,21:10,NORTHERN,NONE,GOLDEN GATE AV / WEBSTER ST,-122.430234565273,37.7797824261683,"(37.7797824261683, -122.430234565273)",15033994568020
150339945,NON-CRIMINAL,FOUND PROPERTY,Saturday,04/18/2015,21:10,NORTHERN,NONE,GOLDEN GATE AV / WEBSTER ST,-122.430234565273,37.7797824261683,"(37.7797824261683, -122.430234565273)",15033994572000
150339860,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,04/18/2015,20:46,TENDERLOIN,NONE,400 Block of EDDY ST,-122.415088721046,37.7836719564372,"(37.7836719564372, -122.415088721046)",15033986064020
150339898,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,04/18/2015,19:56,CENTRAL,NONE,0 Block of CLAY ST,-122.39617056066,37.7954869937274,"(37.7954869937274, -122.39617056066)",15033989864070
150339575,DISORDERLY CONDUCT,DISTURBING THE PEACE,Saturday,04/18/2015,19:04,CENTRAL,NONE,500 Block of COLUMBUS AV,-122.409667412997,37.7998691995985,"(37.7998691995985, -122.409667412997)",15033957519022
150340243,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,04/18/2015,19:00,MISSION,NONE,16TH ST / CHURCH ST,-122.4286681077,37.7645077029947,"(37.7645077029947, -122.4286681077)",15034024306244
150339763,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,04/18/2015,18:47,NORTHERN,NONE,1300 Block of ELLIS ST,-122.429928330142,37.7826335821985,"(37.7826335821985, -122.429928330142)",15033976368020
150340419,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,04/18/2015,18:30,CENTRAL,NONE,NORTHPOINT ST / TAYLOR ST,-122.415435473094,37.8063418891813,"(37.8063418891813, -122.415435473094)",15034041906243
150308229,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,04/18/2015,17:53,MISSION,"ARREST, CITED",16TH ST / MISSION ST,-122.419671780296,37.7650501214668,"(37.7650501214668, -122.419671780296)",15030822965016
150339440,ROBBERY,ATTEMPTED ROBBERY WITH BODILY FORCE,Saturday,04/18/2015,17:38,SOUTHERN,NONE,1500 Block of MISSION ST,-122.417523396516,37.7738670346175,"(37.7738670346175, -122.417523396516)",15033944003474
150339371,ROBBERY,"ROBBERY, BODILY FORCE",Saturday,04/18/2015,17:15,SOUTHERN,NONE,1500 Block of MARKET ST,-122.419842305148,37.7748226184309,"(37.7748226184309, -122.419842305148)",15033937103074
150339359,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,04/18/2015,17:00,PARK,"ARREST, BOOKED",MASONIC AV / HAIGHT ST,-122.4453467866,37.7702081959172,"(37.7702081959172, -122.4453467866)",15033935962050
150341633,NON-CRIMINAL,LOST PROPERTY,Saturday,04/18/2015,16:45,CENTRAL,NONE,HYDE ST / NORTHPOINT ST,-122.420373718701,37.8057204428856,"(37.8057204428856, -122.420373718701)",15034163371000
150339268,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,04/18/2015,16:32,TENDERLOIN,NONE,400 Block of JONES ST,-122.412857126524,37.7855804361702,"(37.7855804361702, -122.412857126524)",15033926804013
150339268,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Saturday,04/18/2015,16:32,TENDERLOIN,NONE,400 Block of JONES ST,-122.412857126524,37.7855804361702,"(37.7855804361702, -122.412857126524)",15033926804012
150339218,OTHER OFFENSES,RESISTING ARREST,Saturday,04/18/2015,16:10,CENTRAL,"ARREST, BOOKED",2800 Block of LEAVENWORTH ST,-122.419067224379,37.8073339305952,"(37.8073339305952, -122.419067224379)",15033921827170
